Rolling,Lower Bound,Upper Bound,Shift,p-value
15,5,32,40,0.6192570819212686
15,5,32,45,0.8832872817146595
15,5,32,50,0.8682122339606911
15,5,36,0,0.8728519367527698
15,5,36,5,0.7482562038020859
15,5,36,10,0.5174129337132738
15,5,36,15,0.48561324779948
15,5,36,20,0.4982528095842079
15,5,36,25,0.4718468371885266
15,5,36,30,0.9194540684279239
15,5,36,35,0.8264236444339047
15,5,36,40,0.6179297402430959
15,5,36,45,0.8823168743111078
15,5,36,50,0.867533248449122
15,5,40,0,0.8728524932074595
15,5,40,5,0.7482490512381512
15,5,40,10,0.5174114244807495
15,5,40,15,0.48560971604823144
15,5,40,20,0.4982506643887088
15,5,40,25,0.47181715143011027
15,5,40,30,0.9194687485187758
15,5,40,35,0.8264924082143881
15,5,40,40,0.6170263559397635
15,5,40,45,0.8814960235129121
15,5,40,50,0.8670093971864826
15,5,44,0,0.872852756814813
15,5,44,5,0.7482456639218169
15,5,44,10,0.5174107097808335
15,5,44,15,0.4856080432898935
15,5,44,20,0.49824964837695973
15,5,44,25,0.47180278034551537
15,5,44,30,0.9194760165646904
15,5,44,35,0.8265271428854091
15,5,44,40,0.6165919434973084
15,5,44,45,0.8809617298454859
15,5,44,50,0.8667445771534725
15,5,48,0,0.872852996821358
15,5,48,5,0.7482425804496609
15,5,48,10,0.517410059213524
15,5,48,15,0.4856065204715594
15,5,48,20,0.49824872345153637
15,5,48,25,0.4717895972827353
15,5,48,30,0.9194827379143409
15,5,48,35,0.8265594810725965
15,5,48,40,0.6162001269391698
15,5,48,45,0.880555026931563
15,5,48,50,0.8664988165792784
15,5,52,0,0.8728532491910308
15,5,52,5,0.7482393387470192
15,5,52,10,0.5174093752875992
15,5,52,15,0.4856049194016795
15,5,52,20,0.49824775101301644
15,5,52,25,0.47177571990873923
15,5,52,30,0.9194898286776148
15,5,52,35,0.8265936399265774
15,5,52,40,0.6157990313425442
15,5,52,45,0.8801171696373435
15,5,52,50,0.8662408197919158
15,5,300,0,0.8728535052723697
15,5,300,5,0.748236050000858
15,5,300,10,0.5174086814635132
15,5,300,15,0.48560329498499055
15,5,300,20,0.4982467644102422
15,5,300,25,0.4717571568153759
15,5,300,30,0.9195014011449955
15,5,300,35,0.8266584933297512
15,5,300,40,0.6150721232658563
15,5,300,45,0.8792659016301599
15,5,300,50,0.8657368626050939
15,6,12,0,0.9643476195060471
15,6,12,5,0.736884227016082
15,6,12,10,0.6008362942230133
15,6,12,15,0.498654706049909
15,6,12,20,0.5312781741589112
15,6,12,25,0.4706660929976194
15,6,12,30,0.8801848379284991
15,6,12,35,0.8456186577136771
15,6,12,40,0.6289633299146737
15,6,12,45,0.8973322494576126
15,6,12,50,0.9108959699459308
15,6,16,0,0.9531309070181598
15,6,16,5,0.7325368280736096
15,6,16,10,0.5609676476481081
15,6,16,15,0.4874987818036619
15,6,16,20,0.5081779199134882
15,6,16,25,0.47283185713532727
15,6,16,30,0.8803160548865594
15,6,16,35,0.8460607955930999
15,6,16,40,0.6217410877454372
15,6,16,45,0.9015827490447453
15,6,16,50,0.9160029862238199
15,6,20,0,0.9079910328538923
15,6,20,5,0.7349347013036434
15,6,20,10,0.5372877702429886
15,6,20,15,0.4870866215314068
15,6,20,20,0.5007979499315145
15,6,20,25,0.4779144980685929
15,6,20,30,0.8804289527867081
15,6,20,35,0.8464397650604623
