"(-90.15, -0.05, 1)","(-90.15, -0.05, 2)","(-90.15, -0.05, 3)","(-90.15, -0.05, 4)","(-90.15, -0.05, 5)","(-90.15, 0.05, 1)","(-90.15, 0.05, 2)","(-90.15, 0.05, 3)","(-90.15, 0.05, 4)","(-90.15, 0.05, 5)","(-90.15, 0.15, 1)","(-90.15, 0.15, 2)","(-90.15, 0.15, 3)","(-90.15, 0.15, 4)","(-90.15, 0.15, 5)","(-90.05, -0.05, 1)","(-90.05, -0.05, 2)","(-90.05, -0.05, 3)","(-90.05, -0.05, 4)","(-90.05, -0.05, 5)","(-90.05, 0.05, 1)","(-90.05, 0.05, 2)","(-90.05, 0.05, 3)","(-90.05, 0.05, 4)","(-90.05, 0.05, 5)","(-90.05, 0.15, 1)","(-90.05, 0.15, 2)","(-90.05, 0.15, 3)","(-90.05, 0.15, 4)","(-90.05, 0.15, 5)","(-89.95, -0.05, 1)","(-89.95, -0.05, 2)","(-89.95, -0.05, 3)","(-89.95, -0.05, 4)","(-89.95, -0.05, 5)","(-89.95, 0.05, 1)","(-89.95, 0.05, 2)","(-89.95, 0.05, 3)","(-89.95, 0.05, 4)","(-89.95, 0.05, 5)","(-89.95, 0.15, 1)","(-89.95, 0.15, 2)","(-89.95, 0.15, 3)","(-89.95, 0.15, 4)","(-89.95, 0.15, 5)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00083425594,0.0,0.0,0.0,0.0,0.0003324372,0.0,0.0,0.0,0.0,0.0003324372,0.0,0.0,0.0,0.0,0.0039618863,0.0,0.0,0.0,0.0,0.0012466395,0.0,0.0,0.0,0.0,0.00083109294,0.0,0.0,0.0,0.0,0.007404104,0.0,0.0,0.0,0.0,0.0021660822,0.0,0.0,0.0,0.0,0.001334989,0.0,0.0,0.0,0.0
0.0,0.00083425594,0.0,0.0,0.0,0.0,0.0003324372,0.0,0.0,0.0,0.000115540046,0.0003324372,0.0,0.0,0.0,0.0,0.0039618863,0.0,0.0,0.0,0.0,0.0012466395,0.0,0.0,0.0,0.0,0.00083109294,0.0,0.0,0.0,0.0,0.007404104,0.0,0.0,0.0,0.0,0.0021660822,0.0,0.0,0.0,0.0,0.001334989,0.0,0.0,0.0
0.0,0.0,0.00083425594,0.0,0.0,0.0,0.0,0.0003324372,0.0,0.0,0.0,0.000115540046,0.0003324372,0.0,0.0,0.0,0.0,0.0039618863,0.0,0.0,0.0,0.0,0.0012466395,0.0,0.0,0.0,0.0,0.00083109294,0.0,0.0,0.0,0.0,0.007404104,0.0,0.0,0.0,0.0,0.0021660822,0.0,0.0,0.0,0.0,0.001334989,0.0,0.0
0.0,0.0,0.0,0.00083425594,0.0,0.0,0.0,0.0,0.0003324372,0.0,0.0,0.0,0.000115540046,0.0003324372,0.0,0.0,0.0,0.0,0.0039618863,0.0,0.0,0.0,0.0,0.0012466395,0.0,0.0,0.0,0.0,0.00083109294,0.0,0.0,0.0,0.0,0.007404104,0.0,0.0,0.0,0.0,0.0021660822,0.0,0.0,0.0,0.0,0.001334989,0.0
0.0,0.0,0.0,0.0,0.00083425594,0.0,0.0,0.0,0.0,0.0003324372,0.0,0.0,0.0,0.000115540046,0.0003324372,0.0,0.0,0.0,0.0,0.0039618863,0.0,0.0,0.0,0.0,0.0012466395,0.0,0.0,0.0,0.0,0.00083109294,0.0,0.0,0.0,0.0,0.007404104,0.0,0.0,0.0,0.0,0.0021660822,0.0,0.0,0.0,0.0,0.001334989
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000115540046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00086290285,0.0,0.0,0.0,0.0,0.041501448,0.0,0.0,0.0,0.0,0.010317999,0.0,0.0,0.0,0.0,0.0012492413,0.0,0.0,0.0,0.0,0.047274537,0.0,0.0,0.0,0.0,0.024999999,0.0,0.0,0.0,0.0,0.010414383,0.0,0.0,0.0,0.0,0.036956538,0.0,0.0,0.0,0.0,0.011956538,0.0,0.0,0.0,0.0
0.018823238,0.00086290285,0.0,0.0,0.0,0.018374763,0.041501448,0.0,0.0,0.0,0.0,0.010317999,0.0,0.0,0.0,0.034141302,0.0012492413,0.0,0.0,0.0,0.03779138,0.047274537,0.0,0.0,0.0,0.0,0.024999999,0.0,0.0,0.0,0.036236145,0.010414383,0.0,0.0,0.0,0.0291272,0.036956538,0.0,0.0,0.0,0.0,0.011956538,0.0,0.0,0.0
